"organism","1L","1M","1U","2L","2M","2U","3L","3M","3U","4L","4M","4U","5L","5M","5U","6L","6M","6U","7L","7M","7U","8L","8M","8U"
"yellow_sponge",0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0
"orange_sponge",6,0,0,14,0,0,0,1,0,8,4,0,12,0,0,12,0,0,0,0,0,1,0,0
"red_sponge",0,0,0,10,1,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
"unknown_other_porifera",4,1,0,2,2,0,0,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,0,0
"anemone",4,1,0,0,1,0,0,2,0,2,2,0,0,0,0,5,1,5,0,0,0,0,0,0
"aggregating.anemone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"purple.encrusting.hydrocoral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hydroid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pacific.sea.nettle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lions.mane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moon_jelly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egg_jelly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flat_worm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nonsegmented_worm",0,0,0,0,0,0,2,0,0,4,0,0,6,0,0,3,1,0,0,0,0,0,0,0
"segmented_worm",5,5,0,4,3,0,2,1,0,6,2,0,40,0,0,3,1,0,5,3,0,8,1,5
"tubeworm",22,0,0,8,5,0,7,1,0,29,0,0,41,0,0,3,0,0,4,6,0,3,5,0
"chiton_lined",6,0,0,16,4,0,6,8,0,19,10,0,3,2,0,7,10,0,1,0,0,6,2,1
"chiton_mossy",3,1,0,0,5,0,0,5,0,1,4,0,0,1,0,4,13,10,6,9,0,3,1,4
"chiton_hairy",4,3,0,1,10,0,0,3,0,0,2,1,0,0,0,1,1,2,0,0,0,0,2,1
"chiton_leather",0,0,0,0,4,0,0,2,0,0,2,0,0,1,0,0,1,4,0,1,0,0,0,0
"limpet",5,50,28,6,164,81,36,93,33,10,117,3,0,27,26,5,88,4,51,155,25,19,27,171
"topsnail",1,0,0,19,0,0,23,2,0,54,10,14,0,3,0,0,32,0,1,1,0,0,0,0
"turban_snail",0,0,13,0,20,0,8,0,0,11,13,0,0,38,0,0,7,1,0,0,0,0,0,0
"margarite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"periwinkle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bittium",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wentletrap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dogwinkle",0,12,0,2,5,0,0,7,0,6,6,0,0,0,0,2,0,0,0,1,0,0,0,0
"welk",8,3,2,5,7,0,0,6,1,1,4,0,0,0,0,4,2,0,5,24,0,9,7,8
"olive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other_unknown_gastropoda",9,4,0,13,20,0,5,7,0,0,2,0,0,0,0,0,7,3,7,50,0,4,0,4
"sea_clown",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"dorid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"sea_lemon",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"other_unknown_opisthobranchia",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mussel",0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,5,3,6,1,0,0,12
"oyster",7,1,0,8,8,0,1,1,0,2,4,1,0,0,1,0,4,1,2,2,0,0,0,1
"clam",3,0,0,5,2,0,1,0,0,3,1,0,5,0,0,1,1,0,2,0,0,4,0,0
